                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6346,                 2.6296,                 1.6909,                0.05633,                0.05172,                0.02313,                0.00948,                 2.7265,                    inf,                 1.5795,             0.00054737,             0.00054737,             0.00054737
                      2,                 2.4873,                  2.129,                 1.5315,                0.04738,                0.03469,                0.01953,                0.00836,                 2.8793,                  5.792,                 1.8627,              0.0010921,              0.0010921,              0.0010921
                      3,                 2.5253,                 2.1538,                 1.5198,                0.06803,                  0.042,                0.02363,                0.01055,                 2.8474,                 4.6421,                 1.6686,              0.0016259,              0.0016259,              0.0016259
                      4,                 2.5326,                 2.0962,                 1.5057,                0.16079,                0.04166,                   0.04,                 0.0163,                 2.7991,                 2.9615,                 1.5484,              0.0016175,              0.0016175,              0.0016175
                      5,                 2.5336,                 2.0993,                 1.4754,                0.07439,                0.05926,                  0.032,                0.01324,                 2.6825,                    inf,                 1.4783,               0.001601,               0.001601,               0.001601
                      6,                 2.4642,                 2.0265,                  1.457,                 0.0804,                0.06218,                 0.0545,                0.02368,                 2.6607,                 2.5659,                 1.5204,              0.0015845,              0.0015845,              0.0015845
                      7,                 2.5081,                 2.0396,                 1.4575,                0.08285,                0.05564,                0.03828,                0.01638,                 2.6914,                 2.5747,                 1.4735,               0.001568,               0.001568,               0.001568
                      8,                 2.4567,                 1.9785,                  1.419,                0.18917,                0.04189,                0.03615,                0.01569,                 2.6462,                 3.0932,                 1.4881,              0.0015515,              0.0015515,              0.0015515
                      9,                  2.463,                 1.9731,                 1.4244,                0.11838,                0.05387,                0.04518,                0.01924,                 2.6227,                 2.2903,                 1.4665,               0.001535,               0.001535,               0.001535
                     10,                 2.4269,                 1.9565,                 1.4215,                0.15383,                0.04711,                0.04315,                0.01936,                  2.587,                 2.2039,                 1.4831,              0.0015185,              0.0015185,              0.0015185
                     11,                 2.3975,                 1.8964,                 1.3936,                0.11993,                0.05775,                0.04746,                0.02011,                 2.6256,                 2.2336,                  1.481,               0.001502,               0.001502,               0.001502
                     12,                 2.4054,                  1.898,                 1.3934,                0.14618,                0.05121,                0.04832,                0.01989,                 2.6539,                 2.3127,                 1.4942,              0.0014855,              0.0014855,              0.0014855
                     13,                 2.4168,                 1.8917,                 1.3868,                0.16786,                0.05166,                0.05177,                0.02215,                 2.6177,                 2.1761,                  1.411,               0.001469,               0.001469,               0.001469
                     14,                 2.3802,                    1.9,                 1.3993,                0.10719,                0.06418,                0.05267,                0.02347,                 2.6539,                 2.2203,                 1.4519,              0.0014525,              0.0014525,              0.0014525
                     15,                 2.3447,                 1.8296,                 1.3636,                 0.1016,                0.06277,                 0.0524,                0.02257,                 2.5825,                 2.2338,                 1.3995,               0.001436,               0.001436,               0.001436
                     16,                  2.381,                 1.8103,                 1.3651,                0.18299,                 0.0577,                0.05911,                 0.0253,                 2.5371,                 2.0396,                  1.416,              0.0014195,              0.0014195,              0.0014195
                     17,                 2.3987,                 1.8518,                 1.3818,                0.13053,                0.05955,                0.07683,                0.03466,                 2.6707,                 2.5822,                 1.4379,              0.0014029,              0.0014029,              0.0014029
                     18,                 2.3583,                 1.8601,                 1.3593,                0.12562,                0.06217,                0.07911,                0.03566,                 2.5923,                  2.499,                  1.429,              0.0013864,              0.0013864,              0.0013864
                     19,                 2.3649,                  1.824,                 1.3565,                0.10189,                0.06764,                0.05429,                0.02335,                 2.6322,                 2.2088,                 1.4454,              0.0013699,              0.0013699,              0.0013699
                     20,                 2.3826,                 1.8336,                 1.3605,                0.18851,                0.05864,                0.06192,                0.02657,                 2.5773,                 2.0275,                 1.3863,              0.0013534,              0.0013534,              0.0013534
                     21,                 2.3415,                 1.7925,                 1.3539,                0.18299,                0.05839,                 0.0589,                0.02543,                 2.5643,                 1.9837,                 1.4247,              0.0013369,              0.0013369,              0.0013369
                     22,                 2.3718,                 1.7554,                 1.3557,                0.08788,                0.07185,                0.05716,                0.02402,                 2.6033,                 2.3071,                 1.4093,              0.0013204,              0.0013204,              0.0013204
                     23,                 2.3179,                 1.7728,                 1.3488,                0.20583,                0.05563,                0.05939,                0.02544,                 2.5369,                 2.0216,                 1.4058,              0.0013039,              0.0013039,              0.0013039
                     24,                  2.333,                 1.7889,                 1.3442,                0.19003,                0.05769,                0.05805,                0.02403,                 2.6117,                 2.0383,                 1.4244,              0.0012874,              0.0012874,              0.0012874
                     25,                  2.345,                 1.7696,                 1.3544,                0.14559,                0.05662,                0.05485,                0.02358,                 2.6344,                  2.226,                 1.4815,              0.0012709,              0.0012709,              0.0012709
                     26,                 2.3277,                 1.7384,                  1.339,                0.13427,                 0.0625,                0.05823,                  0.026,                 2.6167,                 2.1069,                   1.46,              0.0012544,              0.0012544,              0.0012544
                     27,                 2.3295,                 1.7477,                 1.3457,                0.11497,                0.05937,                0.05181,                0.02385,                 2.5236,                 2.3198,                  1.403,              0.0012379,              0.0012379,              0.0012379
                     28,                 2.3231,                 1.7345,                 1.3335,                0.16161,                0.05828,                0.06142,                0.02805,                 2.5666,                 2.1082,                 1.4189,              0.0012214,              0.0012214,              0.0012214
                     29,                 2.2794,                 1.6955,                 1.3301,                0.23714,                0.05428,                0.06232,                0.02644,                 2.5536,                 2.0909,                 1.4568,              0.0012049,              0.0012049,              0.0012049
                     30,                 2.3289,                 1.7322,                  1.343,                0.20791,                0.06234,                0.06724,                0.02859,                 2.5509,                 1.9171,                 1.4359,              0.0011884,              0.0011884,              0.0011884
                     31,                  2.294,                  1.701,                 1.3326,                0.17586,                0.05971,                0.05933,                0.02472,                 2.5902,                 2.0159,                 1.4163,              0.0011719,              0.0011719,              0.0011719
                     32,                 2.3164,                 1.7265,                 1.3145,                0.17461,                0.06412,                0.06428,                0.02726,                  2.557,                 2.0086,                 1.4025,              0.0011554,              0.0011554,              0.0011554
                     33,                 2.2931,                 1.6999,                 1.3224,                0.22108,                0.05183,                0.05931,                0.02577,                 2.5951,                 2.1732,                 1.4331,              0.0011389,              0.0011389,              0.0011389
                     34,                 2.2761,                 1.6439,                 1.3284,                0.17183,                0.06022,                0.06141,                0.02668,                 2.5318,                 2.0065,                 1.3797,              0.0011224,              0.0011224,              0.0011224
                     35,                 2.2593,                 1.6298,                 1.3103,                0.13767,                0.06707,                0.06285,                0.02794,                  2.535,                 2.0829,                 1.4132,              0.0011059,              0.0011059,              0.0011059
                     36,                 2.2555,                 1.6527,                 1.3212,                0.18841,                0.05453,                0.05463,                0.02322,                 2.5635,                 2.0833,                  1.404,              0.0010894,              0.0010894,              0.0010894
                     37,                 2.2528,                 1.6702,                 1.3199,                0.17109,                0.05664,                0.05795,                0.02519,                 2.5683,                  2.072,                 1.4141,              0.0010729,              0.0010729,              0.0010729
                     38,                 2.2672,                  1.644,                 1.3168,                0.19635,                0.05561,                0.05942,                0.02521,                 2.5632,                 2.1531,                 1.4328,              0.0010564,              0.0010564,              0.0010564
                     39,                 2.2648,                 1.6502,                 1.3173,                0.19028,                0.05052,                0.05397,                0.02393,                 2.5644,                  2.136,                 1.4147,              0.0010399,              0.0010399,              0.0010399
                     40,                 2.2346,                 1.6236,                 1.3024,                0.17322,                0.05992,                0.05943,                0.02535,                 2.5663,                 2.0263,                 1.3909,              0.0010234,              0.0010234,              0.0010234
                     41,                  2.247,                 1.6546,                 1.3017,                0.20137,                0.06096,                0.06505,                0.02865,                 2.5629,                 1.9444,                 1.4251,              0.0010069,              0.0010069,              0.0010069
                     42,                 2.2448,                 1.6097,                 1.2921,                0.19998,                 0.0634,                0.06616,                 0.0276,                 2.5265,                  1.907,                 1.4008,             0.00099036,             0.00099036,             0.00099036
                     43,                 2.2498,                 1.6178,                 1.3158,                  0.194,                0.05654,                0.06115,                 0.0267,                  2.536,                 2.0267,                 1.4102,             0.00097386,             0.00097386,             0.00097386
                     44,                 2.2224,                 1.6003,                 1.3019,                0.19224,                0.05767,                0.05859,                0.02503,                 2.5397,                 2.0327,                 1.4009,             0.00095736,             0.00095736,             0.00095736
                     45,                 2.2564,                 1.6031,                 1.3016,                0.19397,                0.06062,                0.06396,                0.02703,                 2.5483,                  1.951,                 1.4129,             0.00094085,             0.00094085,             0.00094085
                     46,                 2.2149,                 1.5992,                 1.2895,                0.19863,                0.05856,                0.05849,                0.02411,                 2.6088,                  1.965,                 1.4575,             0.00092435,             0.00092435,             0.00092435
                     47,                 2.2092,                 1.5762,                 1.2974,                0.21705,                0.06001,                0.06788,                0.02925,                 2.5526,                 1.9183,                 1.3916,             0.00090785,             0.00090785,             0.00090785
                     48,                  2.204,                 1.5652,                 1.2809,                0.20714,                0.05823,                0.06257,                0.02616,                 2.5373,                 1.9351,                 1.4367,             0.00089134,             0.00089134,             0.00089134
                     49,                 2.1954,                 1.5684,                 1.2816,                0.22079,                0.06329,                0.06871,                0.02932,                 2.5331,                 1.8203,                  1.396,             0.00087484,             0.00087484,             0.00087484
                     50,                 2.2159,                 1.5959,                 1.2963,                0.13707,                0.07218,                0.06426,                0.02769,                 2.5316,                 2.0838,                 1.4027,             0.00085834,             0.00085834,             0.00085834
                     51,                 2.2064,                 1.5797,                 1.2921,                0.19715,                0.06416,                0.06739,                0.02855,                 2.5531,                 1.8796,                 1.4168,             0.00084184,             0.00084184,             0.00084184
                     52,                 2.2114,                 1.5423,                 1.2851,                0.19414,                 0.0617,                0.06581,                0.02827,                 2.5691,                 1.9418,                 1.4198,             0.00082533,             0.00082533,             0.00082533
                     53,                 2.1879,                 1.5251,                 1.2748,                0.19597,                 0.0593,                0.06226,                0.02647,                 2.5524,                 1.9659,                 1.4112,             0.00080883,             0.00080883,             0.00080883
                     54,                 2.2202,                 1.5897,                 1.2852,                0.16244,                0.05594,                0.05778,                0.02521,                  2.564,                 2.2606,                 1.4187,             0.00079233,             0.00079233,             0.00079233
                     55,                 2.1965,                 1.5266,                 1.2722,                0.10723,                0.07476,                0.06139,                0.02655,                 2.5689,                 2.1528,                 1.4347,             0.00077582,             0.00077582,             0.00077582
                     56,                 2.1779,                 1.5111,                 1.2785,                 0.2087,                0.06511,                0.06945,                 0.0293,                 2.5495,                 1.8287,                 1.4204,             0.00075932,             0.00075932,             0.00075932
                     57,                 2.1741,                 1.5105,                  1.268,                 0.2088,                0.06197,                0.06651,                0.02867,                 2.5237,                  1.892,                 1.4137,             0.00074282,             0.00074282,             0.00074282
                     58,                 2.1792,                 1.5022,                 1.2658,                 0.1919,                0.06002,                0.06453,                0.02722,                 2.5788,                  1.998,                 1.4171,             0.00072631,             0.00072631,             0.00072631
                     59,                 2.1726,                 1.4984,                 1.2769,                 0.1599,                0.06219,                0.06793,                0.02983,                 2.5621,                 2.2169,                 1.4244,             0.00070981,             0.00070981,             0.00070981
                     60,                 2.1268,                 1.4569,                 1.2603,                0.21373,                0.06281,                0.07074,                0.02987,                 2.5815,                 1.8815,                 1.4205,             0.00069331,             0.00069331,             0.00069331
                     61,                 2.1254,                  1.448,                 1.2682,                0.18437,                0.06241,                0.06417,                 0.0267,                  2.564,                 1.9541,                  1.425,              0.0006768,              0.0006768,              0.0006768
                     62,                 2.1396,                  1.455,                 1.2566,                0.10939,                0.06601,                 0.0582,                0.02572,                 2.5918,                 2.2272,                 1.4686,              0.0006603,              0.0006603,              0.0006603
                     63,                 2.1467,                 1.4744,                 1.2675,                0.16348,                0.06227,                0.06142,                0.02522,                 2.5808,                 2.0575,                 1.4371,              0.0006438,              0.0006438,              0.0006438
                     64,                 2.1348,                 1.4685,                 1.2662,                 0.1785,                0.05929,                0.06126,                0.02501,                 2.5646,                 2.0466,                  1.432,             0.00062729,             0.00062729,             0.00062729
                     65,                 2.1179,                 1.4613,                 1.2588,                0.18521,                0.05616,                0.05985,                0.02583,                 2.5811,                 2.1863,                 1.4312,             0.00061079,             0.00061079,             0.00061079
                     66,                 2.0925,                 1.4203,                 1.2417,                0.21491,                0.06487,                0.07119,                0.03005,                 2.5572,                 1.7961,                 1.4158,             0.00059429,             0.00059429,             0.00059429
                     67,                 2.1311,                 1.4259,                 1.2449,                0.21362,                0.06522,                0.06893,                 0.0285,                 2.5665,                 1.8276,                 1.4501,             0.00057778,             0.00057778,             0.00057778
                     68,                 2.0912,                 1.4247,                 1.2427,                0.20754,                0.06162,                0.06704,                0.02899,                 2.5377,                 1.8828,                 1.4418,             0.00056128,             0.00056128,             0.00056128
                     69,                  2.085,                 1.4038,                 1.2442,                0.21571,                 0.0611,                 0.0674,                0.02892,                 2.5634,                 1.8675,                 1.4464,             0.00054478,             0.00054478,             0.00054478
                     70,                 2.0945,                 1.4018,                 1.2467,                0.19501,                0.05973,                0.06258,                0.02605,                 2.5822,                 1.9272,                 1.4336,             0.00052827,             0.00052827,             0.00052827
                     71,                 2.0794,                  1.378,                  1.226,                0.19571,                0.05554,                0.06077,                  0.026,                 2.5886,                 2.1692,                 1.4453,             0.00051177,             0.00051177,             0.00051177
                     72,                 2.1118,                 1.4016,                 1.2381,                0.20492,                 0.0628,                0.06534,                0.02704,                 2.5936,                 1.8673,                 1.4429,             0.00049527,             0.00049527,             0.00049527
                     73,                  2.071,                 1.3787,                 1.2315,                0.20064,                0.06257,                0.06494,                0.02746,                 2.5812,                 1.9299,                 1.4605,             0.00047876,             0.00047876,             0.00047876
                     74,                 2.0443,                 1.3657,                 1.2259,                 0.2095,                0.06097,                0.06731,                0.02851,                 2.5891,                 1.9651,                 1.4628,             0.00046226,             0.00046226,             0.00046226
                     75,                 2.0922,                 1.3743,                 1.2361,                0.18702,                0.05807,                0.06197,                0.02515,                 2.5978,                 2.0998,                 1.4488,             0.00044576,             0.00044576,             0.00044576
                     76,                 2.0752,                 1.3522,                 1.2238,                0.20645,                0.06069,                0.06353,                0.02743,                 2.5656,                 1.9308,                 1.4371,             0.00042925,             0.00042925,             0.00042925
                     77,                 2.0297,                  1.321,                  1.208,                0.18682,                0.05864,                 0.0601,                0.02515,                 2.6121,                 2.0215,                 1.4449,             0.00041275,             0.00041275,             0.00041275
                     78,                 2.0505,                 1.3396,                 1.2235,                0.19754,                0.06156,                0.06877,                0.02861,                 2.6173,                 1.9933,                 1.4672,             0.00039625,             0.00039625,             0.00039625
