                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3627,                 6.2034,                0.91955,                0.00351,                0.00041,                  0.002,                0.00049,                 5.9818,                 5.3937,                0.57651,             0.00066502,             0.00066502,             0.00066502
                      2,                  4.444,                  2.804,                0.84781,                0.00632,                 0.0006,                0.00411,                  0.001,                 5.8942,                 3.1054,                0.54429,               0.001279,               0.001279,               0.001279
                      3,                  4.388,                 2.7258,                0.84343,                0.01267,                 0.0003,                0.01127,                0.00379,                 5.9876,                 3.8658,                 0.6026,              0.0018401,              0.0018401,              0.0018401
                      4,                 4.3537,                 2.7229,                0.83355,                 0.0047,                0.00062,                0.00239,                0.00058,                 5.9177,                 7.5101,                0.51051,              0.0017624,              0.0017624,              0.0017624
                      5,                 4.2895,                 2.6653,                 0.8341,                0.00483,                0.00048,                0.00739,                0.00273,                 6.0404,                 3.3633,                0.54116,              0.0016832,              0.0016832,              0.0016832
                      6,                 4.2586,                 2.6472,                0.82169,                0.00605,                0.00054,                0.00633,                0.00235,                 6.0205,                 3.3169,                0.51368,               0.001604,               0.001604,               0.001604
                      7,                 4.2237,                 2.6127,                0.81733,                0.00577,                0.00063,                0.00786,                0.00251,                 6.0149,                 3.1129,                0.49399,              0.0015248,              0.0015248,              0.0015248
                      8,                 4.2077,                 2.6375,                0.81304,                0.00447,                0.00063,                0.00721,                0.00215,                  6.025,                 3.1026,                0.51054,              0.0014456,              0.0014456,              0.0014456
                      9,                 4.1641,                  2.535,                0.81363,                0.00178,                0.00055,                0.00588,                0.00193,                 5.9084,                 3.5542,                0.53135,              0.0013664,              0.0013664,              0.0013664
                     10,                 4.1637,                  2.568,                0.79558,                0.00604,                0.00067,                0.00799,                0.00324,                  5.983,                  3.189,                0.51755,              0.0012872,              0.0012872,              0.0012872
                     11,                 4.0983,                 2.5026,                0.79864,                0.00133,                0.00053,                0.00378,                 0.0019,                 5.9691,                 5.5758,                0.52972,               0.001208,               0.001208,               0.001208
                     12,                 4.0957,                 2.5025,                 0.7983,                0.00694,                0.00099,                0.00844,                0.00347,                 5.8331,                 2.9293,                 0.4736,              0.0011288,              0.0011288,              0.0011288
                     13,                 4.0677,                 2.4788,                0.80443,                0.01329,                0.00073,                0.01159,                0.00355,                 5.8773,                 3.6366,                0.50298,              0.0010496,              0.0010496,              0.0010496
                     14,                 4.0494,                  2.464,                0.80499,                0.00742,                0.00069,                0.00868,                0.00341,                 5.9432,                 3.2363,                0.48043,              0.0009704,              0.0009704,              0.0009704
                     15,                  4.004,                 2.4345,                0.79334,                0.01129,                0.00086,                0.01059,                0.00405,                 5.8809,                    3.4,                0.47824,              0.0008912,              0.0008912,              0.0008912
                     16,                 4.0766,                 2.5879,                0.79831,                0.01773,                0.00083,                0.01279,                0.00464,                 5.8359,                 3.7543,                0.47725,               0.000812,               0.000812,               0.000812
                     17,                 4.0117,                 2.5411,                0.79334,                0.00926,                0.00079,                0.00959,                0.00394,                 5.9387,                 3.3456,                0.48713,              0.0007328,              0.0007328,              0.0007328
                     18,                 4.0369,                 2.5401,                0.79143,                0.00991,                0.00069,                0.00991,                0.00396,                 5.9489,                 3.4663,                  0.502,              0.0006536,              0.0006536,              0.0006536
                     19,                 4.0092,                 2.5099,                0.78891,                0.00611,                0.00083,                0.00803,                0.00299,                 5.9427,                 3.1037,                0.48447,              0.0005744,              0.0005744,              0.0005744
                     20,                  4.009,                 2.4715,                0.78542,                0.01324,                0.00092,                0.01156,                0.00428,                 5.8297,                 3.5057,                0.46891,              0.0004952,              0.0004952,              0.0004952
                     21,                 3.9819,                 2.4461,                0.79777,                0.01478,                0.00083,                0.01232,                0.00444,                  5.858,                 3.6164,                0.48272,               0.000416,               0.000416,               0.000416
                     22,                 3.9356,                 2.4302,                0.78898,                0.01099,                0.00089,                0.01045,                0.00443,                 5.8482,                 3.3956,                0.47427,              0.0003368,              0.0003368,              0.0003368
                     23,                 3.9682,                 2.4713,                0.78763,                0.01136,                0.00086,                0.01063,                0.00376,                 5.8844,                 3.3738,                0.48345,              0.0002576,              0.0002576,              0.0002576
                     24,                 3.9629,                   2.44,                0.78914,                0.01119,                0.00079,                0.01055,                0.00425,                 5.9085,                 3.4918,                0.48881,              0.0001784,              0.0001784,              0.0001784
                     25,                 3.9426,                 2.4373,                0.78176,                0.01153,                0.00085,                0.01071,                0.00419,                 5.8729,                  3.409,                 0.4802,               9.92e-05,               9.92e-05,               9.92e-05
